query,answer,,
最近半年淘宝平台上售卖的60元以下的沐浴露的销量占比趋势有什么变化？,Query：最近半年淘宝平台上售卖的60元以下的沐浴露的销量占比趋势有什么变化？ Answer：时间：2023-01 ~ 2023-06;搜索平台：淘宝; 品类：沐浴露; 品牌：未指定; 查询类目：价格分布-各价格段销量占比趋势,,
对于红牛能量饮料，能告诉我近期在京东的销售数据吗？,Query:对于红牛能量饮料，能告诉我近期在京东的销售数据吗？Answer:时间：2023-01 ~ 2023-06;搜索平台：京东;品类：能量饮料;品牌：红牛；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
最近一个月在天猫，碳酸饮料市场的规模变化是怎样的？,Query:最近一个月在天猫，碳酸饮料市场的规模变化是怎样的？Answer:时间：2023-07 ~ 2023-08;搜索平台：天猫; 品类：碳酸饮料; 品牌：未指定；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
我对京东的精油概要&趋势感兴趣，特别是最近三个月。有相关数据吗？,Query:我对京东的精油概要&趋势感兴趣，特别是最近三个月。有相关数据吗？Answer:时间：2023-06 ~ 2023-08;搜索平台：京东; 品类：精油; 品牌：未指定；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
天猫上的面膜销售，上季度有什么亮点或特点？,Query:天猫上的面膜销售，上季度有什么亮点或特点？Answer:时间：2023-04 ~ 2023-06;搜索平台：天猫; 品类：精油; 品牌：未指定；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
对于燕麦片，去年在京东的销售情况表现如何？,Query:对于燕麦片，去年在京东的销售情况表现如何？Answer:时间：2022-01 ~ 2022-12;搜索平台：京东; 品类：燕麦片; 品牌：未指定；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
抖音小店上，卷发棒上月的市场动态有何新变化？,Query:抖音小店上，卷发棒上月的市场动态有何新变化？Answer:时间：2023-07 ~ 2023-08;搜索平台：抖音; 品类：卷发棒; 品牌：未指定；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
男士护肤去年的销售表现出了哪些新趋势？,Query:男士护肤去年的销售表现出了哪些新趋势？Answer:时间：2022-01 ~ 2022-12;搜索平台：淘宝+天猫+京东+抖音; 品类：男士护肤; 品牌：未指定；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
?旅行洗漱套装卖得好么？,Query:旅行洗漱套装卖得好么？Answer:时间：2023-01 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：旅行洗漱; 品牌：未指定；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
朵梵在抖音上销售额变化如何？,Query:朵梵在抖音上销售额变化如何？Answer:时间：2023-01 ~ 2023-08;搜索平台：淘宝; 品类：护肤品; 品牌：朵梵；查询类目：概要&趋势-销量，概要&趋势-销售额，概要&趋势-销售额&销量,,
